start:0.089| end:5.632| speaker:SPEAKER_01| text: The following is a conversation with Jeff Bezos, founder of Amazon and Blue Origin.
start:6.352| end:10.895| speaker:SPEAKER_01| text:This is his first time doing a conversation of this kind and of this length.
start:11.435| end:16.878| speaker:SPEAKER_01| text:And as he told me, it felt like we could have easily talked for many more hours, and I'm sure we will.
start:17.818| end:19.519| speaker:SPEAKER_01| text:This is the Lex Friedman Podcast.
start:19.859| end:23.321| speaker:SPEAKER_01| text:And now, dear friends, here's Jeff Bezos.
start:24.619| end:29.321| speaker:SPEAKER_01| text: You spent a lot of your childhood with your grandfather on a ranch here in Texas.
start:30.301| end:32.902| speaker:SPEAKER_01| text:And I heard you had a lot of work to do around the ranch.
start:33.002| end:34.842| speaker:SPEAKER_01| text:So what's the coolest job you remember doing there?
start:35.362| end:36.263| speaker:SPEAKER_00| text:Wow, coolest.
start:37.183| end:37.883| speaker:SPEAKER_01| text:Most interesting.
start:37.943| end:39.104| speaker:SPEAKER_01| text:Most memorable.
start:39.164| end:40.524| speaker:SPEAKER_00| text:Most memorable.
start:40.544| end:41.785| speaker:SPEAKER_00| text:Most impactful.
start:41.845| end:44.525| speaker:SPEAKER_00| text:It's a real working ranch.
start:44.745| end:48.747| speaker:SPEAKER_00| text:And I spent all my summers on that ranch from age four to 16.
start:49.507| end:52.628| speaker:SPEAKER_00| text:And my grandfather was really taking me in the summers and the
start:52.908| end:60.456| speaker:SPEAKER_00| text: In the early summers, he was letting me pretend to help on the ranch because, of course, a four-year-old is a burden, not a help in real life.
start:61.137| end:63.6| speaker:SPEAKER_00| text:He was really just watching me and taking care of me.
start:63.62| end:67.945| speaker:SPEAKER_00| text:He was doing that because my mom was so young.
start:67.985| end:74.291| speaker:SPEAKER_00| text:She had me when she was 17, and so he was sort of giving her a break, and my grandmother and my grandfather would take me for the summers.
start:75.012| end:78.713| speaker:SPEAKER_00| text: But as I got a little older, I actually was helpful on the ranch, and I loved it.
start:78.853| end:79.594| speaker:SPEAKER_00| text:I was out there.
start:80.254| end:85.056| speaker:SPEAKER_00| text:My grandfather had a huge influence on me, huge factor in my life.
start:85.516| end:87.717| speaker:SPEAKER_00| text:I did all the jobs you would do on a ranch.
start:88.979| end:97.362| speaker:SPEAKER_00| text: Fixed windmills and laid fences and pipelines and, you know, done all the things that any rancher would do.
start:98.002| end:99.763| speaker:SPEAKER_00| text:Vaccinated the animals, everything.
start:101.944| end:108.266| speaker:SPEAKER_00| text:But we had a, you know, my grandfather, after my grandmother died, I was about 12, and I kept coming to the ranch.
start:108.606| end:110.307| speaker:SPEAKER_00| text:Then it was just him and me, just the two of us.
start:111.227| end:117.204| speaker:SPEAKER_00| text: And he was completely addicted to the soap opera, The Days of Our Lives.
start:117.925| end:119.75| speaker:SPEAKER_00| text:And we would go back to the ranch house
start:120.129| end:121.27| speaker:SPEAKER_01| text: day around 1 p.m.
start:121.35| end:123.252| speaker:SPEAKER_01| text:or so to watch Days of Our Lives.
start:124.354| end:127.657| speaker:SPEAKER_01| text:Like sands through an hourglass, so are the Days of Our Lives.
