start:12.919| end:17.904| speaker:SPEAKER_00| text: Next up is a tool to help you become king or queen of your own castle.
start:17.924| end:25.171| speaker:SPEAKER_01| text:Hello, Sharks.
start:25.231| end:26.493| speaker:SPEAKER_01| text:My name is Kevin Lane.
start:26.613| end:29.135| speaker:SPEAKER_00| text:And I'm Lori Lane from New Milford, Connecticut.
start:29.315| end:31.658| speaker:SPEAKER_01| text:We are seeking $350,000 for 10% equity in our company, Create A Castle.
start:36.508| end:38.31| speaker:SPEAKER_00| text: Everybody loves to vacation at the beach.
start:38.57| end:41.052| speaker:SPEAKER_00| text:I know that I could lay in the sun for hours with our daughter.
start:41.232| end:43.334| speaker:SPEAKER_00| text:Our son would stay in the water all day if we let him.
start:43.474| end:52.342| speaker:SPEAKER_00| text:And if you're anything like my husband here, you like to spend hours and hours and hours ignoring his family building the most elaborate sandcastles.
start:52.642| end:57.244| speaker:SPEAKER_01| text: but it's impossible to build a real sand castle using the traditional fill and flip buckets.
start:57.844| end:62.546| speaker:SPEAKER_01| text:The wet sand sticks in the bucket, even at its best, it just looks boring.
start:63.186| end:72.35| speaker:SPEAKER_00| text:That's why we invented Create-A-Castle, revolutionary split mold sand castle kits that allow you to build elaborate sand structures in no time at all.
start:72.71| end:79.213| speaker:SPEAKER_01| text:Just buckle it, pack it, unbuckle it, and, well, create a castle.
start:80.419| end:95.544| speaker:SPEAKER_00| text: Our pro kit includes a 10-inch cylinder for the base, a corbel to add a new level of intricacy, a stackable 6-inch piece for additional height, a ridge battlement brick form to add to the towers, and a window cutter to etch out elegant windows.
start:95.864| end:99.725| speaker:SPEAKER_01| text:Then sit back, relax, and enjoy the admiration of everyone on the beach.
start:99.925| end:106.987| speaker:SPEAKER_01| text:So, Sharks, who wants to create an empire with us, bringing families together, one castle at a time, with... Create a Castle!
start:108.186| end:109.347| speaker:SPEAKER_00| text: I have six kids.
start:109.927| end:113.128| speaker:SPEAKER_00| text:I'm a mom and bonus mom to six kids, okay?
start:113.268| end:116.309| speaker:SPEAKER_00| text:So we spend a lot of time on the beach, and I love this.
start:116.63| end:118.71| speaker:SPEAKER_00| text:Is there anything like this out there?
start:118.73| end:119.991| speaker:SPEAKER_00| text:Because I feel like I've seen something
start:121.051| end:121.792| speaker:SPEAKER_02| text: Nothing like this.
